Sponsor,Sponsor_Class,Total_Trials,Completed,Failed,Active,Mean_Success_Score,Completion_Efficiency_Percent,Failure_Percent
"University of Alabama, Tuscaloosa",OTHER,5,1,0,3,39.6,20.0,0.0
The Methodist Hospital Research Institute,OTHER,5,1,0,2,35.4,20.0,0.0
Imperial College London,OTHER,11,2,1,6,50.18181818181818,18.2,9.1
Assistance Publique Hopitaux De Marseille,OTHER,6,1,0,1,48.5,16.7,0.0
Luye Pharma Group Ltd.,INDUSTRY,6,1,0,4,34.5,16.7,0.0
Boston University,OTHER,6,1,3,2,29.333333333333332,16.7,50.0
"University Hospital, Montpellier",OTHER,13,2,5,5,43.23076923076923,15.4,38.5
"University Hospital, Strasbourg, France",OTHER,8,1,1,2,43.625,12.5,12.5
"University Hospital, Caen",OTHER,9,1,0,3,46.44444444444444,11.1,0.0
"Xuanwu Hospital, Beijing",OTHER,23,1,0,16,40.52173913043478,4.3,0.0
"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",INDUSTRY,4,0,0,4,78.25,0.0,0.0
"Green Valley (Shanghai) Pharmaceuticals Co., Ltd.",INDUSTRY,4,0,1,3,78.0,0.0,25.0
Bellus Health Inc. - a GSK company,INDUSTRY,3,0,0,0,73.33333333333333,0.0,0.0
Zhejiang Provincial People's Hospital,OTHER,3,0,0,2,66.33333333333333,0.0,0.0
Beijing Tiantan Hospital,OTHER,5,0,0,4,62.2,0.0,0.0
Neuromed IRCCS,OTHER,4,0,0,4,60.25,0.0,0.0
Navidea Biopharmaceuticals,INDUSTRY,3,0,1,0,58.333333333333336,0.0,33.3
Huashan Hospital,OTHER,3,0,0,1,57.333333333333336,0.0,0.0
First Hospital of China Medical University,OTHER,3,0,0,3,56.0,0.0,0.0
"Regeneration Biomedical, Inc.",INDUSTRY,3,0,0,3,55.333333333333336,0.0,0.0
Peking Union Medical College Hospital,OTHER,5,0,0,1,54.2,0.0,0.0
"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,6,0,0,5,54.0,0.0,0.0
RenJi Hospital,OTHER,3,0,0,2,53.666666666666664,0.0,0.0
Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,OTHER,6,0,0,5,52.833333333333336,0.0,0.0
Tianjin Medical University,OTHER,4,0,0,4,52.25,0.0,0.0
Ruijin Hospital,OTHER,10,0,0,9,51.1,0.0,0.0
Peking University First Hospital,OTHER,4,0,0,3,50.5,0.0,0.0
First Affiliated Hospital of Zhejiang University,OTHER,5,0,0,3,50.2,0.0,0.0
Metabolic Therapy Inc.,OTHER,3,0,0,0,49.666666666666664,0.0,0.0
"Cognito Therapeutics, Inc.",INDUSTRY,4,0,0,3,49.0,0.0,0.0
Guang'anmen Hospital of China Academy of Chinese Medical Sciences,OTHER,3,0,0,2,48.666666666666664,0.0,0.0
Chinese PLA General Hospital,OTHER,4,0,0,2,47.5,0.0,0.0
University of Virginia,OTHER,5,0,0,3,46.6,0.0,0.0
MD Stem Cells,INDUSTRY,3,0,0,2,46.0,0.0,0.0
Anhui Provincial Hospital,OTHER_GOV,4,0,0,1,44.75,0.0,0.0
Norwegian University of Science and Technology,OTHER,3,0,0,3,43.333333333333336,0.0,0.0
Oslo University Hospital,OTHER,6,0,0,2,42.5,0.0,0.0
Turku University Hospital,OTHER_GOV,3,0,0,0,39.666666666666664,0.0,0.0
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,OTHER,6,0,0,6,39.5,0.0,0.0
Aristotle University Of Thessaloniki,OTHER,4,0,0,2,39.25,0.0,0.0
University of Calgary,OTHER,3,0,0,2,39.0,0.0,0.0
Massachusetts Institute of Technology,OTHER,5,0,0,5,37.6,0.0,0.0
The University of Hong Kong,OTHER,3,0,1,1,35.0,0.0,33.3
"NKGen Biotech, Inc.",INDUSTRY,3,0,1,2,32.0,0.0,33.3
Sheba Medical Center,OTHER_GOV,3,0,0,0,30.666666666666668,0.0,0.0
Ali Rezai,OTHER,3,0,1,2,29.0,0.0,33.3
"Samus Therapeutics, Inc.",INDUSTRY,3,0,3,0,29.0,0.0,100.0
"University Hospital, Basel, Switzerland",OTHER,3,0,1,1,28.666666666666668,0.0,33.3
University of Arizona,OTHER,6,0,1,3,26.833333333333332,0.0,16.7
Centre Hospitalier Universitaire de Besancon,OTHER,4,0,1,0,21.5,0.0,25.0
